Title,Price,Rating,Num Of Reviews,Author,Book Type,Genre,Cover Image
The bell jar ,SAR39.00,4.6 out of 5 stars,375,Sylvia Plath,Paperback,Psychological Fiction,"https://images-eu.ssl-images-amazon.com/images/I/91jUUia8vKL._AC_UL300_SR300,200_.jpg"
It Didn't Start With You: How inherited family trauma shapes who we are and,SAR89.00,4.7 out of 5 stars,"9,841",Mark Wolynn,Paperback,Diseases & Physical Ailments,"https://images-eu.ssl-images-amazon.com/images/I/711+NwnODwL._AC_UL600_SR600,400_.jpg"
The Power of A Positive Attitude: Your Road To Success,SAR19.00,4.4 out of 5 stars,"4,895",Roger Fritz,Paperback,Motivational Self-Help,"https://images-eu.ssl-images-amazon.com/images/I/610kcuW0g1L._AC_UL600_SR600,400_.jpg"
Never Finished: Unshackle Your Mind and Win the War Within,SAR139.00,4.8 out of 5 stars,"2,541",David Goggins,Paperback,Motivational Self-Help,"https://images-eu.ssl-images-amazon.com/images/I/61IzrJ6qSkL._AC_UL600_SR600,400_.jpg"
The Little Red Hen ,SAR9.00,4.7 out of 5 stars,"4,453",J. P. Miller,Hardcover,Children's Books on Country & Farm Life,"https://images-eu.ssl-images-amazon.com/images/I/91cBMSpxXDL._AC_UL300_SR300,200_.jpg"
"Do It Today: Overcome procrastination, improve productivity and achieve more meaningful things",SAR36.47,4.5 out of 5 stars,"4,657",Darius Foroux,Paperback,Motivational Self-Help,"https://images-eu.ssl-images-amazon.com/images/I/61jCkOVf1oL._AC_UL300_SR300,200_.jpg"
Blue Sisters,SAR66.06,4.3 out of 5 stars,162,Coco Mellors,Paperback,Literary Fiction,"https://images-eu.ssl-images-amazon.com/images/I/818vHhQ5P+L._AC_UL600_SR600,400_.jpg"
Crime and Punishment,SAR49.00,4.6 out of 5 stars,"2,724",Fyodor Dostoyevsky,Paperback,Mysteries,"https://images-eu.ssl-images-amazon.com/images/I/81bAXZAp-GL._AC_UL600_SR600,400_.jpg"
The Ballad of Never After: the stunning sequel to the Sunday Times bestseller Once Upon A Broken Heart,SAR54.00,4.8 out of 5 stars,"2,619",Stephanie Garber,Paperback,Romantic Fantasy,"https://images-eu.ssl-images-amazon.com/images/I/81eZMptKtbL._AC_UL600_SR600,400_.jpg"
No Longer Human,SAR59.00,4.7 out of 5 stars,"13,656",Osamu Dazai,Paperback,Historical Fiction,"https://images-eu.ssl-images-amazon.com/images/I/41alKvN9GwL._AC_UL300_SR300,200_.jpg"
"The Coming Wave: Technology, Power, and the Twenty-first Century's Greatest Dilemma",SAR62.00,4.4 out of 5 stars,884,Mustafa Suleyman ,Paperback,Technology,"https://images-eu.ssl-images-amazon.com/images/I/81GffHs0vSL._AC_UL300_SR300,200_.jpg"
IKIGAI,SAR67.89,4.6 out of 5 stars,"42,127",Héctor García,Hardcover,Self-Help for Anger Management,"https://images-eu.ssl-images-amazon.com/images/I/71xH0ALI4-L._AC_UL300_SR300,200_.jpg"
