Title,Price,Rating,Num Of Reviews,Author,Book Type,Genre,Cover Image,Interesting
"Cambridge University Press Unlock Level 3 Reading, Writing, & Critical Thinking Students Book",126.0,4.7,18,Carolyn Westbrook,Paperback,Education & Reference,"https://images-eu.ssl-images-amazon.com/images/I/71-pRNI-CUL._AC_UL300_SR300,200_.jpg",1
الليالي البيضاء,29.0,4.6,61,Dustowski.,Paperback,Fiction Genres,"https://images-eu.ssl-images-amazon.com/images/I/813axjGRhzL._AC_UL300_SR300,200_.jpg",0
Best of Babies,109.1,4.7,170,Collectif,Paperback,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/716wZKBSleL._AC_UL300_SR300,200_.jpg",0
A Man Called Ove,40.0,4.6,18053,Fredrik Backman,Paperback,Comics & Humor,"https://images-eu.ssl-images-amazon.com/images/I/81g2oEdeGTL._AC_UL300_SR300,200_.jpg",0
Colouring Books For Kids (Pack Of 12 Books For Children ),44.51,4.4,5345,Wonder House Book s,Paperback,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/81ZiMSpnmDL._AC_UL300_SR300,200_.jpg",0
"Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness: OVER 2 MILLION COPIES SOLD",69.0,4.7,25801,Vex King,Paperback,Self-Help & Personal Development,"https://images-eu.ssl-images-amazon.com/images/I/61EuEW9rABL._AC_UL300_SR300,200_.jpg",0
White Nights,19.0,4.6,1489,Fyodor Dostoyevsky,Mass Market Paperback,Fiction Genres,"https://images-eu.ssl-images-amazon.com/images/I/51lMJWnnRDL._AC_UL300_SR300,200_.jpg",1
Orientalism: Western Conceptions of the Orient,84.29,4.6,1625,Edward W. Said,Paperback,History & Culture,"https://images-eu.ssl-images-amazon.com/images/I/81CGJE1QyKL._AC_UL300_SR300,200_.jpg",0
Mandala: Colouring Books For Adults With Tear Out Sheets (Adult Colouring Book) Paperback,25.58,4.5,5040,Wonder House Book s,Paperback,"Arts, Crafts, & Hobbies","https://images-eu.ssl-images-amazon.com/images/I/91-40jIWD4S._AC_UL300_SR300,200_.jpg",0
الفقراء,39.0,4.6,53,various,Paperback,Fiction Genres,"https://images-eu.ssl-images-amazon.com/images/I/61G-1AW1NAL._AC_UL300_SR300,200_.jpg",0
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,89.0,4.8,72969,James Clea r,Hardcover,Business & Finance,"https://images-eu.ssl-images-amazon.com/images/I/81ANaVZk5LL._AC_UL300_SR300,200_.jpg",0
GRAPHIX Dog Man 10: Mothering Heights (The New BlockbUSting International Bestseller),50.91,4.9,22481,Dav Pilkey,Hardcover,Mysteries & Detective Stories for Children,"https://images-eu.ssl-images-amazon.com/images/I/81Cx8j-Db4L._AC_UL300_SR300,200_.jpg",1
"Tuesdays With Morrie: An old man, a young man, and life's greatest lesson",42.0,4.6,8309,Mitch Alb o m,Paperback,Psychology & Philosophy,"https://images-eu.ssl-images-amazon.com/images/I/71nUyVAUJfL._AC_UL300_SR300,200_.jpg",0
"Handwriting Practice Book For Kids Ages 6-10: Printing Workbook For Grades 1, 2 & 3, Learn To Trace Alphabet Letters And Numbers 1-100, Sight Words, 101 Jokes: Improve Writing Penmanship",38.32,4.7,5359,Hippid o o,Paperback,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/61DEi2dDNAL._AC_UL300_SR300,200_.jpg",0
Blippi: I Like That! Coloring Book with Crayons: Blippi Coloring Book with Crayons,27.99,4.7,3552,Editors of Studio Fun International,Paperback,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/81ent8SDQkL._AC_UL300_SR300,200_.jpg",0
"Brown Bear, Brown Bear, What Do You See?",39.0,4.9,49653,Bill Martin,Board book,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/81kZ3Gl3WKL._AC_UL300_SR300,200_.jpg",0
The Four Agreements: Practical Guide to Personal Freedom: A Practical Guide to Personal Freedom (Toltec Wisdom): 1,55.16,4.8,77045,Don Miguel Ruiz,Paperback,Self-Help & Personal Development,"https://images-eu.ssl-images-amazon.com/images/I/91rR9gMuOVL._AC_UL300_SR300,200_.jpg",0
Baby Touch And Feel: Animals (Baby Touch And Feel (Dk Publishing)),29.0,4.7,11507,DK,Board book,Activity Books for Children,"https://images-eu.ssl-images-amazon.com/images/I/71JgyMLYYSL._AC_UL300_SR300,200_.jpg",0
Coloriages mystères Disney - Les Grands classiques Tome 10,109.1,4.8,561,Jérémy Mariez,Paperback,"Arts, Crafts, & Hobbies","https://images-eu.ssl-images-amazon.com/images/I/81lpjslIBgL._AC_UL300_SR300,200_.jpg",0
الاطلس المصور للاطفال - العالم,29.0,4.5,127,A collection of authors,Hardcover,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/81LdXwj8lnL._AC_UL300_SR300,200_.jpg",0
Coloriages Mystères Disney Portraits,109.1,4.6,4828,Christophe-Alexis Perez,Paperback,Activity Books for Children,"https://images-eu.ssl-images-amazon.com/images/I/81RQHuIg0ZL._AC_UL300_SR300,200_.jpg",0
A Curse For True Love: the thrilling final book in the Once Upon a Broken: 3,75.04,4.5,413,Stephanie Garbe r,Paperback,Fiction Genres,"https://images-eu.ssl-images-amazon.com/images/I/91EHaC+M-RL._AC_UL300_SR300,200_.jpg",0
No Hitting!,25.0,4.4,1015,Karen Katz,Paperback,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/71UvyNwcMDL._AC_UL300_SR300,200_.jpg",1
The Art of Sourdough Scoring: Your All-In-One Guide to Perfect Loaves with Gorgeous Designs,102.19,4.5,168,Brittany Wood,Paperback,"Arts, Crafts, & Hobbies","https://images-eu.ssl-images-amazon.com/images/I/91G4u-eoQDL._AC_UL300_SR300,200_.jpg",0
Random House Books for Young Readers The Dragon's Promise: 2,49.0,4.6,243,Elizabeth Lim,Paperback,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/A1XKp-yYXWL._AC_UL300_SR300,200_.jpg",0
The Art Of Cuphead,228.47,4.9,3581,Studio MDHR,Hardcover,"Arts, Crafts, & Hobbies","https://images-eu.ssl-images-amazon.com/images/I/91EaniW+yML._AC_UL300_SR300,200_.jpg",0
Coloriages mystأ¨res Disney - Mickey and friends,109.1,4.8,611,Jérémy Mariez,Paperback,"Arts, Crafts, & Hobbies","https://images-eu.ssl-images-amazon.com/images/I/81gX7wE7VmL._AC_UL300_SR300,200_.jpg",0
Batman: The Golden Age Omnibus Vol. 1 (2023 Editio,115.12,4.9,25,Bob Kan e,Hardcover,Comics & Humor,"https://images-eu.ssl-images-amazon.com/images/I/81fY7Gc-dIL._AC_UL300_SR300,200_.jpg",0
"Man's Search For Meaning: The classic tribute to hope from the Holocaust Frankl, Viktor E",30.0,4.7,40355,Viktor E Frankl,Paperback,Textbooks and study guide,"https://images-eu.ssl-images-amazon.com/images/I/61157LApbuL._AC_UL300_SR300,200_.jpg",0
DK Children Baby Touch And Feel Mealtime,29.0,4.5,312,DK,Board book,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/71Zw8OYPrIL._AC_UL300_SR300,200_.jpg",0
The Food For Life Cookbook: 100+ Recipes Created with ZOE,147.91,4.5,872,Tim t o r,Hardcover,Cookbooks & Food,"https://images-eu.ssl-images-amazon.com/images/I/71y71Q+YuQL._AC_UL300_SR300,200_.jpg",0
"Food for Life: The New Science of Eating Well, by the #1 bestsell",108.87,4.6,1182,Tim t o r,Paperback,Health & Fitness,"https://images-eu.ssl-images-amazon.com/images/I/71dKEGV5j0L._AC_UL300_SR300,200_.jpg",0
Why Has Nobody Told Me This Before?: The No 1 Sunday Times Bestseller 2022,49.0,4.6,8910,Dr Julie Smi t h,Paperback,Psychological Therapy,"https://images-eu.ssl-images-amazon.com/images/I/61WA9ViLmML._AC_UL300_SR300,200_.jpg",0
ONEWorld Publications Sweet Bean Paste: The International Bestseller,77.99,4.7,658,Durian Sukegawa,Paperback,Cookbooks & Food,"https://images-eu.ssl-images-amazon.com/images/I/71M5WKI6dJL._AC_UL300_SR300,200_.jpg",0
"Shifrat Da Vinci: The Da Vinci Code (Arabic Edition), Dan Brown, The Arab Science Publishers",64.0,4.3,50,Dan Brown.,Paperback,Mystery & Thriller,"https://images-eu.ssl-images-amazon.com/images/I/91dDl4qglFL._AC_UL300_SR300,200_.jpg",1
A Game of Thrones: 1,39.37,4.6,311,George R. R. Martin,Mass Market Paperback,Poetry & Essays,"https://images-eu.ssl-images-amazon.com/images/I/81dvjub+IRL._AC_UL300_SR300,200_.jpg",1
A Good Girl'S Guide To Murder,49.0,4.7,11757,Holly Jackson,Paperback,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/81E3hDPr3eL._AC_UL300_SR300,200_.jpg",0
"Peter Pauper Press Celestial Journal (Diary, Notebook)",62.46,4.9,9548,Inc Peter Pauper Press,Diary,History & Culture,"https://images-eu.ssl-images-amazon.com/images/I/A15c+pr-6sL._AC_UL300_SR300,200_.jpg",0
Llama Llama Nighty-Night,29.0,4.8,3,Anna Dewdney,Board book,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/81VDjQQ+GlL._AC_UL300_SR300,200_.jpg",1
The Diary of a Bookseller,84.29,4.5,771,Shaun Bythell,Paperback,Poetry & Essays,"https://images-eu.ssl-images-amazon.com/images/I/81wdElKiO2L._AC_UL300_SR300,200_.jpg",0
Inner Traditions International Muhammad: His Life Based on the Earliest Sources,62.0,4.8,1905,Martin Lings,Paperback,Religion & Spirituality,"https://images-eu.ssl-images-amazon.com/images/I/81T2sIksH4L._AC_UL300_SR300,200_.jpg",1
"Teach Yourself Short Stories in English for Beginners: Read for pleasure at your level, expand your vocabulary and learn English the fun way!",74.25,4.7,1006,Olly Richard s,Paperback,Education & Reference,"https://images-eu.ssl-images-amazon.com/images/I/81XOjJK0prL._AC_UL600_SR600,400_.jpg",0
How to Win Friends and Influence People,35.0,4.5,5569,Dale Carnegi e,Paperback,Self-Help & Personal Development,"https://images-eu.ssl-images-amazon.com/images/I/611OWa8x+WL._AC_UL300_SR300,200_.jpg",1
The Girl Who Never Made Mistakes,77.99,4.7,2535,Gary Rubinstein,Hardcover,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/71Um-uEGVbL._AC_UL300_SR300,200_.jpg",0
Everyone Here Is Lying: A Novel,22.64,4.6,1029,Shari Lapena,Hardcover,Mystery & Thriller,"https://images-eu.ssl-images-amazon.com/images/I/81kBg491MFL._AC_UL300_SR300,200_.jpg",1
The Ten Types of Human: Who We Are and Who We Can Be,62.16,4.6,238,Dexter Dias,Paperback,Psychology & Philosophy,"https://images-eu.ssl-images-amazon.com/images/I/71dQ6auvKHL._AC_UL300_SR300,200_.jpg",0
No More Nappies: A Potty-Training Book,45.0,4.7,9021,Campbell Books,Board book,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/81fZHA1dDhL._AC_UL600_SR600,400_.jpg",0
"Blue Ocean Strategy, Expanded Edition: How to Create Uncontested Market Space and Make the Competition Irrelevant",74.0,4.6,3615,W Chan Kim,Hardcover,Parenting & Family,"https://images-eu.ssl-images-amazon.com/images/I/91YCWH4jFdL._AC_UL600_SR600,400_.jpg",0
Twisted Games: the must-read bodyguard romance: 2 ,65.46,4.7,9940,Ana Huang,Paperback,Fiction Genres,"https://images-eu.ssl-images-amazon.com/images/I/71pLR3Iy50L._AC_UL600_SR600,400_.jpg",0
The bell jar ,39.0,4.6,375,Sylvia Plat h,Paperback,Fiction Genres,"https://images-eu.ssl-images-amazon.com/images/I/91jUUia8vKL._AC_UL300_SR300,200_.jpg",0
It Didn't Start With You: How inherited family trauma shapes who we are and,89.0,4.7,9841,Mark Wolynn,Paperback,Diseases & Physical Ailments,"https://images-eu.ssl-images-amazon.com/images/I/711+NwnODwL._AC_UL600_SR600,400_.jpg",0
The Power of A Positive Attitude: Your Road To Success,19.0,4.4,4895,Roger Fritz,Paperback,Self-Help & Personal Development,"https://images-eu.ssl-images-amazon.com/images/I/610kcuW0g1L._AC_UL600_SR600,400_.jpg",0
Never Finished: Unshackle Your Mind and Win the War Within,139.0,4.8,2541,David Goggins,Paperback,Self-Help & Personal Development,"https://images-eu.ssl-images-amazon.com/images/I/61IzrJ6qSkL._AC_UL600_SR600,400_.jpg",0
The Little Red Hen ,9.0,4.7,4453,J. P. Mille r,Hardcover,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/91cBMSpxXDL._AC_UL300_SR300,200_.jpg",0
"Do It Today: Overcome procrastination, improve productivity and achieve more meaningful things",36.47,4.5,4657,Darius Foroux,Paperback,Self-Help & Personal Development,"https://images-eu.ssl-images-amazon.com/images/I/61jCkOVf1oL._AC_UL300_SR300,200_.jpg",0
Blue Sisters,66.06,4.3,162,Coco Mello r s,Paperback,Fiction Genres,"https://images-eu.ssl-images-amazon.com/images/I/818vHhQ5P+L._AC_UL600_SR600,400_.jpg",0
Crime and Punishment,49.0,4.6,2724,Fyodor Dostoyevsky,Paperback,Mystery & Thriller,"https://images-eu.ssl-images-amazon.com/images/I/81bAXZAp-GL._AC_UL600_SR600,400_.jpg",0
The Ballad of Never After: the stunning sequel to the Sunday Times bestseller Once Upon A Broken Heart,54.0,4.8,2619,Stephanie Garbe r,Paperback,Fiction Genres,"https://images-eu.ssl-images-amazon.com/images/I/81eZMptKtbL._AC_UL600_SR600,400_.jpg",0
No Longer Human,59.0,4.7,13656,Osamu Dazai,Paperback,Historical Fiction,"https://images-eu.ssl-images-amazon.com/images/I/41alKvN9GwL._AC_UL300_SR300,200_.jpg",1
"The Coming Wave: Technology, Power, and the Twenty-first Century's Greatest Dilemma",62.0,4.4,884,Mustafa Suleyman,Paperback,Technology & Digital Media,"https://images-eu.ssl-images-amazon.com/images/I/81GffHs0vSL._AC_UL300_SR300,200_.jpg",0
IKIGAI,67.89,4.6,42127,Héctor García,Hardcover,Self-Help for Anger Management,"https://images-eu.ssl-images-amazon.com/images/I/71xH0ALI4-L._AC_UL300_SR300,200_.jpg",0
