Title,Price,Rating,Num Of Reviews,Author,Book Type,Genre,Cover Image,Mean_Red,Mean_Green,Mean_Blue,Contrast,Edge_Complexity,Color_Variance,Color_Saturation,Sharpness,Interesting
الاطلس المصور للاطفال - العالم,29.0,4.5,127,A collection of authors,Hardcover,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/81LdXwj8lnL._AC_UL300_SR300,200_.jpg",216.80688333333333,223.57586666666663,184.0342833333333,37.97283839153981,25.54675,2682.700675910988,61.52061666666667,1040.7900338266666,0
Coloriages Mystères Disney Portraits,109.1,4.6,4828,Christophe-Alexis Perez,Paperback,Activity Books for Children,"https://images-eu.ssl-images-amazon.com/images/I/81RQHuIg0ZL._AC_UL300_SR300,200_.jpg",197.5090333333333,197.2918,202.40325,73.07807278018755,22.90325,5323.56971111034,34.96755,1110.132595182222,0
A Curse For True Love: the thrilling final book in the Once Upon a Broken: 3,75.04,4.5,413,Stephanie Garbe r,Paperback,Fiction Genres,"https://images-eu.ssl-images-amazon.com/images/I/91EHaC+M-RL._AC_UL300_SR300,200_.jpg",231.2891833333333,203.9910833333333,213.1430333333333,56.26707830382602,31.93025,3320.381468567778,39.728366666666666,1853.692801222222,0
No Hitting!,25.0,4.4,1015,Karen Katz,Paperback,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/71UvyNwcMDL._AC_UL300_SR300,200_.jpg",203.86845,187.71195,152.04365,60.04431968314923,33.4305,6092.1306457330575,94.64988333333334,1207.2798959863892,1
The Art of Sourdough Scoring: Your All-In-One Guide to Perfect Loaves with Gorgeous Designs,102.19,4.5,168,Brittany Wood,Paperback,"Arts, Crafts, & Hobbies","https://images-eu.ssl-images-amazon.com/images/I/91G4u-eoQDL._AC_UL300_SR300,200_.jpg",231.86476666666667,223.23956666666663,216.13561666666664,46.94866019917394,32.64425,2556.5162193330552,23.89153333333333,2862.4434969108333,0
Random House Books for Young Readers The Dragon's Promise: 2,49.0,4.6,243,Elizabeth Lim,Paperback,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/A1XKp-yYXWL._AC_UL300_SR300,200_.jpg",192.61911666666663,199.55911666666665,191.49293333333333,74.64793594056295,33.031,6174.089289108025,46.65611666666667,1785.6578507641668,0
The Art Of Cuphead,228.47,4.9,3581,Studio MDHR,Hardcover,"Arts, Crafts, & Hobbies","https://images-eu.ssl-images-amazon.com/images/I/91EaniW+yML._AC_UL300_SR300,200_.jpg",228.16493333333327,185.50396666666663,173.6229,69.22397903616725,19.40975,6300.387394751109,70.4046,1624.9098919375003,0
Coloriages mystأ¨res Disney - Mickey and friends,109.1,4.8,611,Jérémy Mariez,Paperback,"Arts, Crafts, & Hobbies","https://images-eu.ssl-images-amazon.com/images/I/81gX7wE7VmL._AC_UL300_SR300,200_.jpg",214.04076666666663,201.62321666666668,203.51856666666663,72.79512567960853,26.99175,5489.685680610833,36.07726666666667,2332.441405056667,0
Batman: The Golden Age Omnibus Vol. 1 (2023 Editio,115.12,4.9,25,Bob Kan e,Hardcover,Comics & Humor,"https://images-eu.ssl-images-amazon.com/images/I/81fY7Gc-dIL._AC_UL300_SR300,200_.jpg",213.25666666666663,202.4864333333333,191.70606666666663,80.26065919398529,18.53425,6924.57649066358,48.49478333333333,1424.6653736041667,0
"Man's Search For Meaning: The classic tribute to hope from the Holocaust Frankl, Viktor E",30.0,4.7,40355,Viktor E Frankl,Paperback,Textbooks and study guide,"https://images-eu.ssl-images-amazon.com/images/I/61157LApbuL._AC_UL300_SR300,200_.jpg",209.95601666666667,204.0463,205.1523833333333,69.46270782345292,16.745,4805.682096434443,13.995266666666666,1158.7897383775,0
DK Children Baby Touch And Feel Mealtime,29.0,4.5,312,DK,Board book,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/71Zw8OYPrIL._AC_UL300_SR300,200_.jpg",238.32288333333327,219.7461833333333,208.41856666666664,48.27421019521938,21.90025,3204.455334859136,40.314283333333336,779.0568034530555,0
The Food For Life Cookbook: 100+ Recipes Created with ZOE,147.91,4.5,872,Tim t o r,Hardcover,Cookbooks & Food,"https://images-eu.ssl-images-amazon.com/images/I/71y71Q+YuQL._AC_UL300_SR300,200_.jpg",239.8908333333333,220.02941666666663,200.79446666666664,56.289224216205206,18.41525,5373.024092231822,51.873666666666665,1355.9948454997225,0
"Food for Life: The New Science of Eating Well, by the #1 bestsell",108.87,4.6,1182,Tim t o r,Paperback,Health & Fitness,"https://images-eu.ssl-images-amazon.com/images/I/71dKEGV5j0L._AC_UL300_SR300,200_.jpg",244.5800833333333,230.6287333333333,210.37446666666668,45.56957361690656,11.458,3921.2619848762656,41.88268333333333,733.3363027155556,0
Why Has Nobody Told Me This Before?: The No 1 Sunday Times Bestseller 2022,49.0,4.6,8910,Dr Julie Smi t h,Paperback,Psychological Therapy,"https://images-eu.ssl-images-amazon.com/images/I/61WA9ViLmML._AC_UL300_SR300,200_.jpg",247.01096666666663,243.76941666666667,241.4548,31.64713412016517,13.30675,1114.919726533302,10.762916666666667,1726.78443536,0
ONEWorld Publications Sweet Bean Paste: The International Bestseller,77.99,4.7,658,Durian Sukegawa,Paperback,Cookbooks & Food,"https://images-eu.ssl-images-amazon.com/images/I/71M5WKI6dJL._AC_UL300_SR300,200_.jpg",225.98526666666663,226.8432,230.55375,40.97824303369885,12.96675,1860.6882881947845,24.94615,777.1006116622224,0
"Shifrat Da Vinci: The Da Vinci Code (Arabic Edition), Dan Brown, The Arab Science Publishers",64.0,4.3,50,Dan Brown.,Paperback,Mystery & Thriller,"https://images-eu.ssl-images-amazon.com/images/I/91dDl4qglFL._AC_UL300_SR300,200_.jpg",167.79545,158.32198333333332,167.9667,101.99928793045432,19.85175,9987.878520916543,58.27848333333333,2116.2891014933334,1
A Game of Thrones: 1,39.37,4.6,311,George R. R. Martin,Mass Market Paperback,Poetry & Essays,"https://images-eu.ssl-images-amazon.com/images/I/81dvjub+IRL._AC_UL300_SR300,200_.jpg",173.09245,170.79083333333332,167.2931,103.5242884503908,21.5135,10874.973563583671,30.721216666666667,2558.415573305556,1
A Good Girl'S Guide To Murder,49.0,4.7,11757,Holly Jackson,Paperback,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/81E3hDPr3eL._AC_UL300_SR300,200_.jpg",235.6940833333333,232.85311666666664,232.60715,50.69431542407448,21.4455,2596.637891786389,9.897283333333334,2362.5180966388884,0
"Peter Pauper Press Celestial Journal (Diary, Notebook)",62.46,4.9,9548,Inc Peter Pauper Press,Diary,History & Culture,"https://images-eu.ssl-images-amazon.com/images/I/A15c+pr-6sL._AC_UL300_SR300,200_.jpg",180.49416666666667,189.50451666666663,194.6912333333333,73.977918265969,32.78875,5483.870473888116,42.40101666666666,2312.451228953056,0
Llama Llama Nighty-Night,29.0,4.8,3,Anna Dewdney,Board book,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/81VDjQQ+GlL._AC_UL300_SR300,200_.jpg",153.2833,165.7043,182.68491666666668,77.60366864821677,25.0155,6530.660030148117,99.52805,1780.280726928889,1
The Diary of a Bookseller,84.29,4.5,771,Shaun Bythell,Paperback,Poetry & Essays,"https://images-eu.ssl-images-amazon.com/images/I/81wdElKiO2L._AC_UL300_SR300,200_.jpg",212.48648333333333,207.06291666666667,199.99283333333327,68.99646012618449,30.753,4994.932279593949,26.38713333333333,2581.933138443333,0
Inner Traditions International Muhammad: His Life Based on the Earliest Sources,62.0,4.8,1905,Martin Lings,Paperback,Religion & Spirituality,"https://images-eu.ssl-images-amazon.com/images/I/81T2sIksH4L._AC_UL300_SR300,200_.jpg",170.1606,201.8924,175.67106666666666,79.21672701959795,20.9355,8250.888343792098,87.28386666666667,3538.779235982223,1
"Teach Yourself Short Stories in English for Beginners: Read for pleasure at your level, expand your vocabulary and learn English the fun way!",74.25,4.7,1006,Olly Richard s,Paperback,Education & Reference,"https://images-eu.ssl-images-amazon.com/images/I/81XOjJK0prL._AC_UL600_SR600,400_.jpg",217.32101666666668,215.12610416666664,205.50866666666667,69.21322524106814,13.2313125,5150.699923083872,45.35975833333333,770.3606425733333,0
How to Win Friends and Influence People,35.0,4.5,5569,Dale Carnegi e,Paperback,Self-Help & Personal Development,"https://images-eu.ssl-images-amazon.com/images/I/611OWa8x+WL._AC_UL300_SR300,200_.jpg",231.97421666666668,175.10796666666667,169.41611666666665,84.51045168636277,20.06425,8972.111566345555,87.49265,1599.960870078889,1
The Girl Who Never Made Mistakes,77.99,4.7,2535,Gary Rubinstein,Hardcover,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/71Um-uEGVbL._AC_UL300_SR300,200_.jpg",196.52981666666668,203.61886666666663,229.0567333333333,43.65448140744608,32.3425,2258.4958208140424,51.011116666666666,2035.612430555556,0
Everyone Here Is Lying: A Novel,22.64,4.6,1029,Shari Lapena,Hardcover,Mystery & Thriller,"https://images-eu.ssl-images-amazon.com/images/I/81kBg491MFL._AC_UL300_SR300,200_.jpg",197.2339,177.21311666666668,179.13131666666666,93.53897536605916,24.07625,8979.86026265432,64.06975,2193.247765353056,1
The Ten Types of Human: Who We Are and Who We Can Be,62.16,4.6,238,Dexter Dias,Paperback,Psychology & Philosophy,"https://images-eu.ssl-images-amazon.com/images/I/71dQ6auvKHL._AC_UL300_SR300,200_.jpg",247.4279833333333,243.8571,239.5845,24.302240306599764,12.308,694.4980897955246,9.351,776.8808697499999,0
No More Nappies: A Potty-Training Book,45.0,4.7,9021,Campbell Books,Board book,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/81fZHA1dDhL._AC_UL600_SR600,400_.jpg",193.19840833333333,210.1489125,201.8719708333333,55.078720386748245,14.5891875,4487.467585499807,73.44317916666667,467.823497406927,0
"Blue Ocean Strategy, Expanded Edition: How to Create Uncontested Market Space and Make the Competition Irrelevant",74.0,4.6,3615,W Chan Kim,Hardcover,Parenting & Family,"https://images-eu.ssl-images-amazon.com/images/I/91YCWH4jFdL._AC_UL600_SR600,400_.jpg",174.76404166666666,208.10102916666668,220.21015416666663,73.4986469717441,17.945625,6478.887118466597,79.88484166666667,650.6924264081771,0
Twisted Games: the must-read bodyguard romance: 2 ,65.46,4.7,9940,Ana Huang,Paperback,Fiction Genres,"https://images-eu.ssl-images-amazon.com/images/I/71pLR3Iy50L._AC_UL600_SR600,400_.jpg",247.0273625,243.4797208333333,235.2608708333333,19.66285390624321,7.3748125,801.6793102479152,13.5248875,281.36158055555546,0
The bell jar ,39.0,4.6,375,Sylvia Plat h,Paperback,Fiction Genres,"https://images-eu.ssl-images-amazon.com/images/I/91jUUia8vKL._AC_UL300_SR300,200_.jpg",203.83056666666667,211.77301666666668,217.71865,59.856794330243375,10.19575,3694.612129519877,26.0055,658.4112477322223,0
It Didn't Start With You: How inherited family trauma shapes who we are and,89.0,4.7,9841,Mark Wolynn,Paperback,Diseases & Physical Ailments,"https://images-eu.ssl-images-amazon.com/images/I/711+NwnODwL._AC_UL600_SR600,400_.jpg",245.983275,243.70529166666665,231.6904125,23.77982066377357,8.3119375,736.7277421064327,16.224895833333335,626.3546033727604,0
The Power of A Positive Attitude: Your Road To Success,19.0,4.4,4895,Roger Fritz,Paperback,Self-Help & Personal Development,"https://images-eu.ssl-images-amazon.com/images/I/610kcuW0g1L._AC_UL600_SR600,400_.jpg",230.8386708333333,228.61117916666663,225.1707125,56.198245912164815,9.8971875,3422.407034964844,25.3963875,474.702209016927,0
Never Finished: Unshackle Your Mind and Win the War Within,139.0,4.8,2541,David Goggins,Paperback,Self-Help & Personal Development,"https://images-eu.ssl-images-amazon.com/images/I/61IzrJ6qSkL._AC_UL600_SR600,400_.jpg",198.85420416666668,198.73534166666667,199.90029166666667,88.03772300926593,11.6290625,7748.11240519151,12.5715125,625.9888824663889,0
The Little Red Hen ,9.0,4.7,4453,J. P. Mille r,Hardcover,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/91cBMSpxXDL._AC_UL300_SR300,200_.jpg",235.8289333333333,222.16586666666663,191.6857,43.48926124509551,16.98725,4027.350902194444,58.77308333333333,819.5932508263888,0
"Do It Today: Overcome procrastination, improve productivity and achieve more meaningful things",36.47,4.5,4657,Darius Foroux,Paperback,Self-Help & Personal Development,"https://images-eu.ssl-images-amazon.com/images/I/61jCkOVf1oL._AC_UL300_SR300,200_.jpg",247.13081666666668,226.23543333333333,176.58871666666667,37.67486189357199,13.79975,4538.653622814692,75.95906666666667,701.1873294330555,0
Blue Sisters,66.06,4.3,162,Coco Mello r s,Paperback,Fiction Genres,"https://images-eu.ssl-images-amazon.com/images/I/818vHhQ5P+L._AC_UL600_SR600,400_.jpg",231.6457,231.3436125,230.94227916666668,44.25837945167292,11.3166875,2065.748723551844,16.477079166666666,361.9961797910416,0
Crime and Punishment,49.0,4.6,2724,Fyodor Dostoyevsky,Paperback,Mystery & Thriller,"https://images-eu.ssl-images-amazon.com/images/I/81bAXZAp-GL._AC_UL600_SR600,400_.jpg",189.64994583333333,196.5072333333333,197.0933,84.20803421073697,16.26475,7114.144237705972,35.58558333333333,589.4486509982639,0
The Ballad of Never After: the stunning sequel to the Sunday Times bestseller Once Upon A Broken Heart,54.0,4.8,2619,Stephanie Garbe r,Paperback,Fiction Genres,"https://images-eu.ssl-images-amazon.com/images/I/81eZMptKtbL._AC_UL600_SR600,400_.jpg",227.11237083333333,182.840225,187.7308125,75.934255594889,21.677125,6466.78075033888,69.5402625,747.6385882549306,0
No Longer Human,59.0,4.7,13656,Osamu Dazai,Paperback,Historical Fiction,"https://images-eu.ssl-images-amazon.com/images/I/41alKvN9GwL._AC_UL300_SR300,200_.jpg",189.56506666666667,157.4122,168.90041666666667,95.73629218463718,10.7525,9598.911387625893,44.8834,1174.2799155455557,1
"The Coming Wave: Technology, Power, and the Twenty-first Century's Greatest Dilemma",62.0,4.4,884,Mustafa Suleyman,Paperback,Technology & Digital Media,"https://images-eu.ssl-images-amazon.com/images/I/81GffHs0vSL._AC_UL300_SR300,200_.jpg",224.73186666666663,227.3488,227.03036666666668,57.53553710602595,18.1985,3331.4219783258022,9.13085,3189.117253115556,0
IKIGAI,67.89,4.6,42127,Héctor García,Hardcover,Self-Help for Anger Management,"https://images-eu.ssl-images-amazon.com/images/I/71xH0ALI4-L._AC_UL300_SR300,200_.jpg",209.60991666666663,230.6564833333333,236.4298,37.777957382344304,16.2945,1693.757989506667,32.57691666666667,1005.6743120308332,0
